<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.03	20:00:00	3883.74	3889.21	3876.84	3886.12	21343	0	17
2025.10.03	22:00:00	3886.11	3889.09	3882.66	3886.67	11330	0	17
2025.10.06	00:00:00	3887.72	3903.24	3884.31	3899.40	8053	0	16
2025.10.06	02:00:00	3899.29	3920.86	3898.11	3900.48	26737	0	16
2025.10.06	04:00:00	3900.58	3924.68	3899.74	3921.03	18269	0	16
2025.10.06	06:00:00	3920.97	3940.19	3919.96	3938.67	18293	0	16
2025.10.06	08:00:00	3938.63	3945.07	3922.24	3934.36	22835	0	14
2025.10.06	10:00:00	3933.77	3949.70	3929.27	3942.50	25759	0	17
2025.10.06	12:00:00	3942.52	3946.56	3932.52	3942.16	16999	0	17
2025.10.06	14:00:00	3942.13	3942.67	3926.55	3934.10	28848	0	17
2025.10.06	16:00:00	3934.21	3958.74	3927.23	3955.09	34878	0	17
2025.10.06	18:00:00	3955.06	3970.02	3945.90	3954.08	31861	0	17
2025.10.06	20:00:00	3954.22	3960.54	3951.20	3958.41	18773	0	17
2025.10.06	22:00:00	3958.34	3965.16	3957.37	3960.14	10889	0	14
2025.10.07	00:00:00	3959.28	3976.18	3958.51	3963.37	10033	0	17
2025.10.07	02:00:00	3963.52	3977.33	3961.53	3962.73	19915	0	16
2025.10.07	04:00:00	3962.71	3966.96	3955.84	3965.01	17621	0	16
2025.10.07	06:00:00	3964.91	3977.00	3960.91	3975.88	14917	0	16
2025.10.07	08:00:00	3975.76	3976.77	3953.79	3954.96	21858	0	14
2025.10.07	10:00:00	3955.01	3956.16	3940.82	3951.32	29124	0	17
2025.10.07	12:00:00	3951.30	3963.49	3951.13	3959.97	17897	0	17
2025.10.07	14:00:00	3960.11	3980.01	3956.32	3979.47	22830	0	17
2025.10.07	16:00:00	3979.29	3986.70	3969.02	3985.54	38538	0	17
2025.10.07	18:00:00	3985.52	3991.00	3961.75	3976.65	41360	0	17
2025.10.07	20:00:00	3976.69	3987.75	3974.14	3981.07	27697	0	17
2025.10.07	22:00:00	3981.12	3986.48	3978.54	3984.62	15280	0	14
2025.10.08	00:00:00	3984.75	3990.71	3983.26	3989.56	4000	0	17
2025.10.08	02:00:00	3989.61	3999.22	3988.31	3992.27	15593	0	16
2025.10.08	04:00:00	3992.29	4011.89	3984.50	4011.87	22339	0	16
2025.10.08	06:00:00	4011.87	4027.16	4008.85	4026.74	17873	0	16
2025.10.08	08:00:00	4026.55	4037.05	4021.22	4031.65	24174	0	14
2025.10.08	10:00:00	4031.64	4040.45	4030.12	4036.32	21911	0	17
2025.10.08	12:00:00	4036.30	4049.54	4030.69	4037.10	21844	0	17
2025.10.08	14:00:00	4037.24	4046.41	4031.12	4039.95	25021	0	17
2025.10.08	16:00:00	4039.90	4049.38	4026.28	4048.18	34329	0	17
2025.10.08	18:00:00	4048.17	4059.15	4037.18	4056.56	29669	0	17
2025.10.08	20:00:00	4056.57	4058.02	4038.59	4049.93	27128	0	17
2025.10.08	22:00:00	4050.15	4054.60	4032.03	4040.44	23657	0	15
2025.10.09	00:00:00	4042.51	4044.79	4014.84	4021.26	7390	0	17
2025.10.09	02:00:00	4021.43	4028.13	4001.34	4022.98	24785	0	16
2025.10.09	04:00:00	4023.02	4036.34	4002.62	4018.63	32767	0	16
2025.10.09	06:00:00	4018.58	4041.09	4017.21	4038.95	15028	0	16
2025.10.09	08:00:00	4038.89	4043.75	4022.63	4026.03	21684	0	14
2025.10.09	10:00:00	4025.94	4040.38	4024.83	4038.13	20959	0	17
2025.10.09	12:00:00	4038.14	4044.22	4034.22	4044.18	14199	0	17
2025.10.09	14:00:00	4044.23	4053.60	4033.56	4053.36	22508	0	17
2025.10.09	16:00:00	4053.40	4057.94	4004.08	4024.11	45310	0	17
2025.10.09	18:00:00	4024.14	4028.64	3963.69	3968.73	39476	0	17
2025.10.09	20:00:00	3968.42	3974.45	3944.68	3957.48	37685	0	17
2025.10.09	22:00:00	3957.57	3982.02	3955.15	3976.45	20895	0	14
2025.10.10	00:00:00	3975.26	3981.35	3958.49	3975.31	6336	0	16
2025.10.10	02:00:00	3975.30	3994.46	3974.32	3990.96	16689	0	16
