<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.03.11	11:00:00	19450.81	19538.19	19438.94	19536.44	0	0	0
2025.03.11	11:30:00	19535.44	19536.81	19497.06	19534.06	0	0	0
2025.03.11	12:00:00	19533.19	19550.81	19501.81	19532.19	0	0	0
2025.03.11	12:30:00	19531.69	19533.94	19505.94	19513.94	0	0	0
2025.03.11	13:00:00	19513.44	19529.44	19478.31	19524.81	0	0	0
2025.03.11	13:30:00	19524.94	19531.69	19482.56	19505.19	0	0	0
2025.03.11	14:00:00	19504.31	19507.56	19442.56	19495.56	0	0	0
2025.03.11	14:30:00	19494.81	19547.69	19492.94	19547.31	0	0	0
2025.03.11	15:00:00	19547.56	19552.19	19437.56	19468.56	0	0	0
2025.03.11	15:30:00	19468.44	19470.31	19409.69	19422.94	0	0	0
2025.03.11	16:00:00	19423.31	19454.31	19384.06	19391.19	0	0	0
2025.03.11	16:30:00	19390.81	19568.41	19357.31	19491.54	0	0	0
2025.03.11	17:00:00	19491.41	19582.54	19284.54	19292.91	0	0	0
2025.03.11	17:30:00	19292.16	19388.04	19235.66	19283.16	0	0	0
2025.03.11	18:00:00	19284.29	19478.04	19256.29	19400.54	0	0	0
2025.03.11	18:30:00	19400.16	19514.41	19383.91	19394.41	0	0	0
2025.03.11	19:00:00	19394.29	19415.79	19304.79	19355.91	0	0	0
2025.03.11	19:30:00	19355.29	19401.79	19266.79	19292.29	0	0	0
2025.03.11	20:00:00	19294.16	19299.29	19177.41	19180.41	0	0	0
2025.03.11	20:30:00	19179.79	19338.79	19172.16	19295.79	0	0	0
2025.03.11	21:00:00	19295.16	19517.41	19290.04	19479.54	0	0	0
2025.03.11	21:30:00	19479.66	19656.16	19432.41	19610.29	0	0	0
2025.03.11	22:00:00	19610.04	19647.16	19473.79	19520.91	0	0	0
2025.03.11	22:30:00	19521.66	19537.16	19362.91	19364.04	0	0	0
2025.03.11	23:00:00	19363.66	19415.46	19352.41	19376.84	0	0	0
2025.03.11	23:30:00	19379.09	19385.71	19342.09	19364.59	0	0	0
2025.03.12	01:00:00	19403.30	19425.17	19374.92	19408.42	0	0	0
2025.03.12	01:30:00	19409.17	19452.17	19398.80	19441.80	0	0	0
2025.03.12	02:00:00	19440.55	19449.30	19407.42	19420.42	0	0	0
2025.03.12	02:30:00	19420.30	19451.30	19397.67	19450.92	0	0	0
2025.03.12	03:00:00	19455.30	19473.05	19430.55	19462.05	0	0	0
2025.03.12	03:30:00	19462.17	19467.80	19415.17	19440.30	0	0	0
2025.03.12	04:00:00	19439.92	19451.92	19420.92	19422.80	0	0	0
2025.03.12	04:30:00	19422.92	19456.42	19416.80	19445.80	0	0	0
2025.03.12	05:00:00	19445.55	19465.80	19440.05	19455.92	0	0	0
2025.03.12	05:30:00	19457.30	19457.92	19423.17	19428.05	0	0	0
2025.03.12	06:00:00	19428.17	19442.42	19409.30	19426.80	0	0	0
2025.03.12	06:30:00	19427.55	19434.80	19410.67	19424.17	0	0	0
2025.03.12	07:00:00	19423.67	19446.67	19411.30	19441.92	0	0	0
2025.03.12	07:30:00	19441.80	19445.30	19424.67	19427.92	0	0	0
2025.03.12	08:00:00	19427.80	19434.30	19421.05	19427.92	0	0	0
2025.03.12	08:30:00	19429.17	19457.05	19429.17	19453.17	0	0	0
2025.03.12	09:00:00	19453.92	19454.17	19423.52	19427.77	0	0	0
2025.03.12	09:30:00	19428.02	19439.52	19370.90	19386.65	0	0	0
2025.03.12	10:00:00	19386.52	19405.15	19360.77	19389.65	0	0	0
2025.03.12	10:30:00	19389.52	19455.40	19373.02	19448.27	0	0	0
2025.03.12	11:00:00	19447.77	19477.77	19415.27	19427.52	0	0	0
2025.03.12	11:30:00	19428.52	19529.15	19426.27	19520.27	0	0	0
2025.03.12	12:00:00	19522.52	19532.52	19501.27	19515.02	0	0	0
2025.03.12	12:30:00	19514.77	19536.40	19497.52	19533.52	0	0	0
2025.03.12	13:00:00	19533.15	19540.40	19498.15	19503.02	0	0	0
2025.03.12	13:30:00	19503.90	19534.52	19498.27	19524.40	0	0	0
2025.03.12	14:00:00	19523.65	19573.40	19520.65	19560.40	0	0	0
