direction,zone,trigger,rr,rsi,k,trades,winrate,avg_r,sum_r,pf,h1_avg_r,h2_avg_r,pos_datasets,n_datasets
long,SR,macd,1.5,9,5,274,0.40875912408759124,0.018944174452733838,5.1907038000490715,1.031882109444624,0.10802985978008696,-0.0454888683940939,5,10
long,BB,macd,2.5,9,5,380,0.29210526315789476,0.018891823095860547,7.178892776427007,1.026556908005299,0.00873272315773006,0.0265228520816452,5,10
long,BB+FIB,candle+macd,1.5,9,3,184,0.4076086956521739,0.017791364734299406,3.273611111111091,1.0299708810701522,-0.019397627965043924,0.05263157894736842,6,10
long,SR+BB,candle,1.5,9,3,755,0.40794701986754967,0.017498598409194394,13.211441798941767,1.0294380094089275,0.032729629629629574,0.0024679754942912523,5,10
long,SR,candle+macd,1.5,14,3,804,0.4079601990049751,0.017416543133632018,14.002900679440144,1.029294949068403,-0.03966655721211414,0.07711413662498487,7,10
long,SR,candle,2.5,9,5,627,0.2966507177033493,0.01594161598569035,9.99539322302785,1.0219676747754936,-0.03389509517941922,0.06284675590579347,6,10
long,BB,candle+macd,2.5,14,5,638,0.29153605015673983,0.015239711649343724,9.722936032281297,1.0213560857811423,0.004490327680473185,0.025855146908321785,6,10
short,SR,candle+macd,1.5,9,5,571,0.4063047285464098,0.013117161103150613,7.489898989899,1.0219961139704248,0.13095238095238096,-0.0799689686837022,6,10
short,FIB,candle+macd,1.5,14,3,151,0.41721854304635764,0.011284709475629965,1.7039911308201248,1.0183627631358838,-0.15205646294619543,0.15625,5,10
long,BB,candle+macd,1.5,14,3,767,0.4054758800521513,0.011257986536703738,8.634875673651766,1.0188589940899215,-0.029282266876111154,0.05233026427252146,7,10
short,SR+FIB,candle+macd,2.5,9,5,95,0.29473684210526313,0.011179878199733383,1.0620884289746715,1.015406449147802,-0.2,0.1343681404829112,5,10
long,BB,macd,2.5,14,5,293,0.2901023890784982,0.01084946340077477,3.1788927764270074,1.0151866804957785,0.07196317640895161,-0.0339913674454615,5,10
long,FIB,macd,2.5,14,3,142,0.28873239436619713,0.01056338028169014,1.5,1.0148514851485149,0.02586206896551724,0.0,6,10
long,SR+BB,candle+macd,2.5,9,5,454,0.2907488986784141,0.010402942802381703,4.722936032281293,1.0145197327308328,-0.043062248398675215,0.06727046435259679,5,10
short,SR+FIB,candle,2.5,9,5,119,0.29411764705882354,0.009320662773565632,1.1091588700543102,1.0128388479096524,-0.16304347826086957,0.11793368315142891,4,10
short,SR+BB+FIB,candle+macd,1.5,14,3,57,0.40350877192982454,0.008771929824561403,0.5,1.0147058823529411,-0.13043478260869565,0.10294117647058823,2,9
long,FIB,candle+macd,1.5,9,3,265,0.4037735849056604,0.008579664570230532,2.273611111111091,1.0143693547396049,0.0021544181977251244,0.014492753623188406,6,10
short,BB+FIB,candle+macd,2.5,9,5,66,0.28787878787878785,0.007575757575757576,0.5,1.0106382978723405,-0.125,0.10526315789473684,4,9
short,FIB,candle+macd,1.5,14,5,87,0.4022988505747126,0.005747126436781609,0.5,1.0096153846153846,-0.34210526315789475,0.2755102040816326,4,10
short,SR,candle+macd,2.5,14,5,505,0.2891089108910891,0.005053440433413213,2.551987418873672,1.0070409750648102,0.1085972850678733,-0.07552117106030397,5,10
long,SR+BB,macd,1.5,9,5,243,0.4032921810699589,0.004900015638062022,1.1907038000490715,1.0081661720554238,0.11831841785438095,-0.08139659474391978,7,10
