direction,level,closeback,div,entry,rr,trades,avg_r,winrate,pf,risk_pct,h1_avg_r,h2_avg_r,pos_datasets
short,PD,1,False,break,1.5,714,-0.10041032181597999,0.3599439775910364,0.8431888184727778,0.004273792258721248,-0.18125,0.002570159947102796,0
long,PD,1,False,next_open,1.5,888,-0.10090975807267949,0.3614864864864865,0.8430981770105807,0.0036284756967886115,-0.019586806814063207,-0.19030732860520094,1
long,PW,2,False,break,2.5,124,-0.10171409214914619,0.2661290322580645,0.8614005777308337,0.007990921279832863,0.3001848571953971,-0.5590473793343161,1
short,PD,1,True,next_open,2.5,554,-0.10229659773378827,0.2581227436823105,0.8631673024191783,0.0029732786188842093,-0.25387688339165754,0.07415232853982522,2
short,PD,1,True,break,2.5,398,-0.10349992406183348,0.2562814070351759,0.8609252278753351,0.0043318005044517835,-0.21666666666666667,0.022909735230799352,1
short,PD,2,True,next_open,2.5,634,-0.11068188508599165,0.2555205047318612,0.8523223830429251,0.0028952825775335764,-0.21559439540271202,0.008360256249815675,3
long,PW,1,False,next_open,3.5,167,-0.11077844311377245,0.19760479041916168,0.8619402985074627,0.004684149155159095,0.0975609756097561,-0.31176470588235294,3
long,PD,1,True,next_open,1.5,352,-0.12642045454545456,0.3494318181818182,0.8056768558951966,0.003993119465984797,0.013888888888888888,-0.27325581395348836,1
long,PD,2,True,next_open,1.5,390,-0.1282051282051282,0.3487179487179487,0.8031496062992126,0.004281935202982594,0.04922279792746114,-0.3020304568527919,1
long,PW,2,False,next_open,3.5,209,-0.1334565052412302,0.19617224880382775,0.8339737524082315,0.004900844455823687,0.08173076923076923,-0.3465943770992106,3
short,PD,2,False,next_open,1.5,1315,-0.1426648403947892,0.3452471482889734,0.7840164127061777,0.0027425722629512666,-0.14662613598365806,-0.13772168521551692,0
short,PD,1,False,next_open,1.5,1035,-0.14652305923140202,0.34396135265700484,0.778821462689025,0.0025167518584325622,-0.17100228440890933,-0.11604350337047104,0
short,PD,2,True,break,1.5,468,-0.1617371149072857,0.33547008547008544,0.7567651678283541,0.004184898531064753,-0.26411290322580644,-0.04633168080277146,1
short,PW,2,False,break,3.5,173,-0.1684482284043774,0.18497109826589594,0.7935296526562675,0.004502235494966625,-0.32075471698113206,0.07251427591108525,3
short,PW,2,False,next_open,2.5,266,-0.1727582113177679,0.23684210526315788,0.7741319633073093,0.00274060223563664,-0.21987951807228914,-0.09453684210526263,2
long,PW,2,False,break,1.5,124,-0.17338709677419356,0.33064516129032256,0.7409638554216867,0.007990921279832863,0.022727272727272728,-0.39655172413793105,1
short,PW,1,False,break,3.5,120,-0.175,0.18333333333333332,0.7857142857142857,0.004765662840441371,-0.3310810810810811,0.07608695652173914,2
short,PD,1,True,next_open,1.5,559,-0.17787167800402803,0.33094812164579607,0.7362104440943168,0.0029872159562680254,-0.2546379909264487,-0.08701154981850676,0
