symbol,tf,direction,detector,zone,trigger,rr,trades,winrate,avg_r,sum_r,pf,gross_win,gross_loss,h1_sum_r,h2_sum_r,h1_trades,h2_trades
XAUUSD,H2,long,wbottom,SR+BB,candle,1.5,0,,,0.0,,0.0,0.0,0.0,0.0,0,0
XAUUSD,H2,long,wbottom,SR+BB,candle,2.5,0,,,0.0,,0.0,0.0,0.0,0.0,0,0
XAUUSD,H2,long,failswing,none,self,1.5,82,0.35365853658536583,-0.11585365853658537,-9.5,0.8207547169811321,43.5,53.0,-6.5,-3.0,44,38
XAUUSD,H2,long,failswing,none,self,2.5,78,0.3076923076923077,0.05191836574866068,4.0496325283955334,1.0749931949702878,58.049632528395534,54.0,5.0,-0.9503674716044666,44,34
XAUUSD,H2,long,failswing,none,candle,1.5,75,0.48,0.2,15.0,1.3846153846153846,54.0,39.0,10.5,4.5,42,33
XAUUSD,H2,long,failswing,none,candle,2.5,70,0.44285714285714284,0.5059677609890173,35.41774326923121,1.9081472633136207,74.41774326923121,39.0,30.0,5.417743269231206,40,30
XAUUSD,H2,long,failswing,SR,self,1.5,68,0.35294117647058826,-0.11764705882352941,-8.0,0.8181818181818182,36.0,44.0,-3.0,-5.0,38,30
XAUUSD,H2,long,failswing,SR,self,2.5,67,0.29850746268656714,0.04477611940298507,3.0,1.0638297872340425,50.0,47.0,7.5,-4.5,38,29
XAUUSD,H2,long,failswing,SR,candle,1.5,61,0.4918032786885246,0.22950819672131148,14.0,1.4516129032258065,45.0,31.0,11.5,2.5,36,25
XAUUSD,H2,long,failswing,SR,candle,2.5,60,0.48333333333333334,0.6728018456805945,40.368110740835675,2.3021971206721186,71.36811074083568,31.0,31.5,8.868110740835673,35,25
XAUUSD,H2,long,failswing,BB,self,1.5,11,0.5454545454545454,0.36363636363636365,4.0,1.8,9.0,5.0,1.0,3.0,4,7
XAUUSD,H2,long,failswing,BB,self,2.5,11,0.45454545454545453,0.4136029571268667,4.5496325283955334,1.7582720880659224,10.549632528395534,6.0,3.0,1.5496325283955334,4,7
XAUUSD,H2,long,failswing,BB,candle,1.5,10,0.6,0.5,5.0,2.25,9.0,4.0,1.0,4.0,4,6
XAUUSD,H2,long,failswing,BB,candle,2.5,10,0.6,0.9049632528395535,9.049632528395534,3.2624081320988836,13.049632528395534,4.0,3.0,6.049632528395534,4,6
XAUUSD,H2,long,failswing,SR+BB,self,1.5,7,0.42857142857142855,0.07142857142857142,0.5,1.125,4.5,4.0,2.0,-1.5,3,4
XAUUSD,H2,long,failswing,SR+BB,self,2.5,7,0.42857142857142855,0.5,3.5,1.875,7.5,4.0,4.0,-0.5,3,4
XAUUSD,H2,long,failswing,SR+BB,candle,1.5,6,0.8333333333333334,1.0833333333333333,6.5,7.5,7.5,1.0,2.0,4.5,3,3
XAUUSD,H2,long,failswing,SR+BB,candle,2.5,6,0.8333333333333334,1.9166666666666667,11.5,12.5,12.5,1.0,4.0,7.5,3,3
XAUUSD,H2,long,keyrev,none,self,1.5,28,0.32142857142857145,-0.19642857142857142,-5.5,0.7105263157894737,13.5,19.0,-5.0,-0.5,15,13
XAUUSD,H2,long,keyrev,none,self,2.5,28,0.25,-0.125,-3.5,0.8333333333333334,17.5,21.0,-8.0,4.5,15,13
XAUUSD,H2,long,keyrev,none,candle,1.5,28,0.32142857142857145,-0.19642857142857142,-5.5,0.7105263157894737,13.5,19.0,-5.0,-0.5,15,13
XAUUSD,H2,long,keyrev,none,candle,2.5,28,0.25,-0.125,-3.5,0.8333333333333334,17.5,21.0,-8.0,4.5,15,13
XAUUSD,H2,long,keyrev,SR,self,1.5,26,0.3076923076923077,-0.23076923076923078,-6.0,0.6666666666666666,12.0,18.0,-4.0,-2.0,14,12
XAUUSD,H2,long,keyrev,SR,self,2.5,26,0.23076923076923078,-0.19230769230769232,-5.0,0.75,15.0,20.0,-7.0,2.0,14,12
XAUUSD,H2,long,keyrev,SR,candle,1.5,26,0.3076923076923077,-0.23076923076923078,-6.0,0.6666666666666666,12.0,18.0,-4.0,-2.0,14,12
XAUUSD,H2,long,keyrev,SR,candle,2.5,26,0.23076923076923078,-0.19230769230769232,-5.0,0.75,15.0,20.0,-7.0,2.0,14,12
XAUUSD,H2,long,keyrev,BB,self,1.5,16,0.3125,-0.21875,-3.5,0.6818181818181818,7.5,11.0,-0.5,-3.0,8,8
XAUUSD,H2,long,keyrev,BB,self,2.5,16,0.25,-0.125,-2.0,0.8333333333333334,10.0,12.0,-1.0,-1.0,8,8
XAUUSD,H2,long,keyrev,BB,candle,1.5,16,0.3125,-0.21875,-3.5,0.6818181818181818,7.5,11.0,-0.5,-3.0,8,8
XAUUSD,H2,long,keyrev,BB,candle,2.5,16,0.25,-0.125,-2.0,0.8333333333333334,10.0,12.0,-1.0,-1.0,8,8
XAUUSD,H2,long,keyrev,SR+BB,self,1.5,15,0.3333333333333333,-0.16666666666666666,-2.5,0.75,7.5,10.0,0.5,-3.0,7,8
XAUUSD,H2,long,keyrev,SR+BB,self,2.5,15,0.26666666666666666,-0.06666666666666667,-1.0,0.9090909090909091,10.0,11.0,0.0,-1.0,7,8
XAUUSD,H2,long,keyrev,SR+BB,candle,1.5,15,0.3333333333333333,-0.16666666666666666,-2.5,0.75,7.5,10.0,0.5,-3.0,7,8
