direction,level,closeback,depth_cap,div,entry,rr,trades,winrate,avg_r,sum_r,pf,risk_pct,h1_avg_r,h2_avg_r,pos_datasets
long,piv3,1,none,False,break,1.5,3036,0.36198945981554675,-0.1009126985837551,-306.3709529002805,0.8432781701289574,0.003751722068361973,-0.13578318429569458,-0.06672460985247983,1
long,piv5,1,none,True,break,2.5,648,0.25925925925925924,-0.10181140702830473,-65.97379175434146,0.8639716395423811,0.0043732707566918995,-0.16364284566423723,-0.04404054048189618,2
long,piv3,1,1.0,False,break,1.5,2976,0.3612231182795699,-0.10239059723760653,-304.71441737911704,0.841063986053438,0.003646817640551792,-0.1419430590607121,-0.06362760571037131,1
long,piv5,1,none,False,next_open,1.5,3103,0.3615855623590074,-0.10360152358997701,-321.47552769969866,0.8396211261962283,0.0024131845805245174,-0.14638056000909302,-0.0625779400542212,2
long,major,2,none,True,break,1.5,613,0.3605220228384992,-0.1064011231211373,-65.22388847325716,0.8355937457553584,0.004609805568018222,-0.1344128060744595,-0.08157846253480872,2
long,major,2,none,True,next_open,2.5,894,0.26174496644295303,-0.10724215830666442,-95.87448952615799,0.8581896388134787,0.003126099735376463,-0.14644924219387415,-0.07218836720411671,1
short,piv5,2,1.0,False,next_open,2.5,3563,0.25764804939657593,-0.10785712574942853,-384.2949390452139,0.8565168405156571,0.0019148764462736598,-0.11304470990900897,-0.10266662885309372,1
long,piv3,1,1.0,False,next_open,1.5,4873,0.3613790272932485,-0.10791812258402855,-525.8850113519711,0.83396871252873,0.0021422364273828037,-0.1426723749462702,-0.07432795534933581,0
long,major,2,none,False,break,1.5,1185,0.3594936708860759,-0.1080342651724084,-128.02060422930396,0.833093656776094,0.004390791869042604,-0.11252152268347641,-0.10387534357678438,1
long,piv5,1,1.0,True,break,2.5,618,0.25728155339805825,-0.1091808928063778,-67.47379175434148,0.8545824304467093,0.004178599797144564,-0.16911636290104168,-0.05479500327603463,2
short,piv3,1,1.0,False,next_open,3.5,4833,0.2011173184357542,-0.10973285475217343,-530.3388870172541,0.8649117419706505,0.0017116130492589253,-0.15879023751061838,-0.06326472144632976,1
short,piv3,1,none,False,next_open,3.5,4880,0.20102459016393442,-0.11000833457613521,-536.8406727315398,0.8645665767159884,0.0017620855421845523,-0.15509497409060716,-0.06715620477381141,1
long,major,2,none,True,next_open,1.5,906,0.3620309050772627,-0.11055714716182236,-100.16477532861106,0.8308498250794697,0.0031293628700898293,-0.13804020298665842,-0.08648813553882928,1
long,piv3,1,none,False,next_open,1.5,5007,0.36049530657080087,-0.11056270385984503,-553.587458226244,0.830244522627017,0.0022461305959894915,-0.140585741356778,-0.08158835173858986,0
short,piv5,1,1.0,False,next_open,3.5,3135,0.20063795853269537,-0.11093853856379066,-347.7923183974837,0.863225905781153,0.0018179685376094549,-0.1804935664165997,-0.042045939547675014,1
short,piv5,2,none,False,next_open,2.5,3661,0.25621414913957935,-0.11189608359918982,-409.6515620566339,0.8512351109250186,0.0020124360998179445,-0.11005213790618745,-0.11374911774303391,1
long,major,2,1.0,True,break,1.5,561,0.3582887700534759,-0.11269855342826589,-63.22388847325716,0.8266527352021995,0.004216472510634618,-0.1504200308691073,-0.07916835125862906,3
long,major,1,1.0,False,next_open,1.5,1445,0.3591695501730104,-0.1135853344361966,-164.1308082603041,0.8258800722170117,0.0024111196347756016,-0.1640542109325977,-0.06809693917299296,1
short,piv5,2,1.0,False,next_open,3.5,3497,0.1995996568487275,-0.11380688329447952,-397.9826708807949,0.8595341632557438,0.001917155585537278,-0.1678797134382352,-0.06031845802713531,1
long,major,2,1.0,True,next_open,2.5,831,0.25872442839951865,-0.11380908504340485,-94.57534967106943,0.8503732984994806,0.0028359760573829474,-0.17724189310950098,-0.05744038514830579,0
long,major,2,1.0,True,next_open,1.5,839,0.36114421930870083,-0.11402237822242081,-95.66477532861106,0.8261161389849597,0.0028253814534440875,-0.15278317822284823,-0.08003080417282896,0
short,piv5,1,1.0,False,next_open,2.5,3180,0.2559748427672956,-0.11505023612663423,-365.85975088269686,0.8475516176635176,0.0018162041709343904,-0.13803921493517557,-0.09203232216540749,0
short,piv5,1,none,False,next_open,3.5,3187,0.19956071540633824,-0.115561375623398,-368.2941041117694,0.8576819805979119,0.0018827449508129399,-0.17794078312965714,-0.053611094747888575,1
short,piv3,2,none,False,next_open,2.5,5674,0.2544941839971801,-0.11569866314116821,-656.4742146629884,0.8460159859024218,0.0018986247476833209,-0.11485071870655923,-0.1165323813147282,0
