direction,k,tol,bottoms,entry,tp,trades,avg_r,net05,winrate,pf,h1_avg_r,h2_avg_r,pos_ds,n_ds
short,3,0.5,2,confirm,1.5R,730,-0.018984340909047864,-0.125612107479702,0.4013698630136987,0.9924416505281181,-0.06179922913113841,0.017527848031618203,5,12
short,3,1.0,2,confirm,2.5R,914,-0.025659907600415602,-0.1268172989460336,0.2975929978118162,0.967626415159313,0.01693305249915549,-0.06468113100400588,4,12
short,3,0.5,2,confirm,measured,765,-0.030744703522393398,-0.13692020213639286,0.6679738562091502,0.9330112338728603,-0.07484614101265558,0.005865819944403207,3,12
short,3,0.5,2,touch,3.5R,854,-0.013227863268948618,-0.13720438126246218,0.2447306791569087,0.9886159175682123,-0.04488305795165094,0.014925650586021147,6,12
short,3,0.5,2,confirm,2.5R,695,-0.030806328900631768,-0.1384048874751705,0.297841726618705,0.9588791529471232,-0.06106504953880302,-0.005430629317826789,4,12
short,3,0.5,3,touch,2.5R,148,-0.02221676622148506,-0.14303678581088733,0.304054054054054,0.9897178537524399,-0.21398236112506677,0.1802024728434068,3,7
short,5,1.0,2,confirm,2.5R,605,-0.055570532297658445,-0.14426574441836773,0.2892561983471074,0.9309001746309937,-0.13365028592017988,0.021738697440430256,4,12
short,5,0.5,2,confirm,measured,469,-0.049278906979311844,-0.14503970139409011,0.6460554371002133,0.8979753865263624,-0.1254898165277883,0.02220818586161444,3,11
long,5,0.5,2,confirm,measured,395,-0.0755849962327232,-0.1500519894050386,0.5822784810126582,60631087.909704946,0.0005330314382769457,-0.14332639884902001,5,11
short,3,0.5,3,confirm,1.5R,110,-0.04803881666492653,-0.1525305111771301,0.4,0.9513148295755464,-0.121755848110397,0.03418402610117518,2,6
short,5,1.0,2,confirm,1.5R,633,-0.07487889686197625,-0.16265118785912416,0.37598736176935227,0.9085743831039067,-0.14631526446740353,-0.004562221538765709,3,12
short,3,0.5,3,confirm,2.5R,110,-0.05884463336519276,-0.16333632787739638,0.3090909090909091,0.995909892106573,-0.25535553313162684,0.160340600989676,1,6
short,5,0.5,2,confirm,2.5R,438,-0.0725578780037254,-0.1688862373263213,0.28538812785388123,0.906105045481922,-0.20205268068925017,0.04891512274552792,2,11
long,5,0.5,3,confirm,3.5R,26,-0.08785615212719594,-0.17011032695471034,0.3076923076923077,0.8838939562610122,-0.3545050176368126,0.030654454765966992,1,3
short,3,0.5,3,touch,1.5R,149,-0.051083345175054674,-0.1713519395304813,0.3959731543624161,0.9485555671375564,-0.07013301268163723,-0.03125081462025639,4,7
short,5,1.0,2,touch,3.5R,750,-0.06950483550900227,-0.17259446458259411,0.23866666666666667,0.9231991113178428,-0.12271089812618416,-0.0165817838631884,5,12
long,3,0.5,3,touch,measured,94,-0.06375721160164272,-0.1731478337868808,0.5425531914893618,1.0086595927119881,-0.062056618982171616,-0.06481275184821099,3,6
short,5,0.5,2,confirm,1.5R,452,-0.08969823819682454,-0.18536462525734962,0.37389380530973454,0.8696386150337708,-0.18065763008868566,-0.003443642437301042,1,11
