symbol,tf,direction,level,closeback,div,entry,rr,trades,winrate,avg_r,sum_r,pf,gross_win,gross_loss,risk_pct,h1_sum_r,h2_sum_r,h1_trades,h2_trades
US100,M15,short,PW,1,False,break,1.5,13,0.23076923076923078,-0.4230769230769231,-5.5,0.45,4.5,10.0,0.0023860989559725374,-0.5,-5.0,8,5
US100,M15,short,PW,1,False,break,2.5,13,0.15384615384615385,-0.46153846153846156,-6.0,0.45454545454545453,5.0,11.0,0.0023860989559725374,-1.0,-5.0,8,5
US100,M15,short,PW,1,False,break,3.5,13,0.15384615384615385,-0.3076923076923077,-4.0,0.6363636363636364,7.0,11.0,0.0023860989559725374,1.0,-5.0,8,5
US100,M15,short,PW,2,False,next_open,1.5,34,0.23529411764705882,-0.4117647058823529,-14.0,0.46153846153846156,12.0,26.0,0.0013196281746227282,-6.5,-7.5,19,15
US100,M15,short,PW,2,False,next_open,2.5,34,0.14705882352941177,-0.4852941176470588,-16.5,0.43103448275862066,12.5,29.0,0.0013196281746227282,-5.0,-11.5,19,15
US100,M15,short,PW,2,False,next_open,3.5,34,0.08823529411764706,-0.6029411764705882,-20.5,0.3387096774193548,10.5,31.0,0.0013196281746227282,-10.0,-10.5,19,15
US100,M15,short,PW,2,False,break,1.5,18,0.2777777777777778,-0.3055555555555556,-5.5,0.5769230769230769,7.5,13.0,0.0027578384032955583,-2.0,-3.5,12,6
US100,M15,short,PW,2,False,break,2.5,18,0.2222222222222222,-0.2222222222222222,-4.0,0.7142857142857143,10.0,14.0,0.0027578384032955583,-1.5,-2.5,12,6
US100,M15,short,PW,2,False,break,3.5,18,0.16666666666666666,-0.25,-4.5,0.7,10.5,15.0,0.0027578384032955583,-3.0,-1.5,12,6
US100,M15,short,PW,1,True,next_open,1.5,15,0.2,-0.5,-7.5,0.375,4.5,12.0,0.0013217414975077264,-2.0,-5.5,7,8
US100,M15,short,PW,1,True,next_open,2.5,15,0.06666666666666667,-0.7666666666666667,-11.5,0.17857142857142858,2.5,14.0,0.0013217414975077264,-3.5,-8.0,7,8
US100,M15,short,PW,1,True,next_open,3.5,15,0.06666666666666667,-0.7,-10.5,0.25,3.5,14.0,0.0013217414975077264,-2.5,-8.0,7,8
US100,M15,short,PW,1,True,break,1.5,9,0.1111111111111111,-0.7222222222222222,-6.5,0.1875,1.5,8.0,0.002881801106147615,-2.5,-4.0,5,4
US100,M15,short,PW,1,True,break,2.5,9,0.1111111111111111,-0.6111111111111112,-5.5,0.3125,2.5,8.0,0.002881801106147615,-1.5,-4.0,5,4
US100,M15,short,PW,1,True,break,3.5,9,0.1111111111111111,-0.5,-4.5,0.4375,3.5,8.0,0.002881801106147615,-0.5,-4.0,5,4
US100,M15,short,PW,2,True,next_open,1.5,18,0.2777777777777778,-0.3055555555555556,-5.5,0.5769230769230769,7.5,13.0,0.0012937449072091204,-1.5,-4.0,9,9
US100,M15,short,PW,2,True,next_open,2.5,18,0.1111111111111111,-0.6111111111111112,-11.0,0.3125,5.0,16.0,0.0012937449072091204,-2.0,-9.0,9,9
US100,M15,short,PW,2,True,next_open,3.5,18,0.05555555555555555,-0.75,-13.5,0.20588235294117646,3.5,17.0,0.0012937449072091204,-4.5,-9.0,9,9
US100,M15,short,PW,2,True,break,1.5,11,0.18181818181818182,-0.5454545454545454,-6.0,0.3333333333333333,3.0,9.0,0.002645925850406439,-2.0,-4.0,7,4
US100,M15,short,PW,2,True,break,2.5,11,0.18181818181818182,-0.36363636363636365,-4.0,0.5555555555555556,5.0,9.0,0.002645925850406439,0.0,-4.0,7,4
US100,M15,short,PW,2,True,break,3.5,11,0.09090909090909091,-0.5909090909090909,-6.5,0.35,3.5,10.0,0.002645925850406439,-2.5,-4.0,7,4
US100,M30,long,PD,1,False,next_open,1.5,109,0.3577981651376147,-0.12434800536027243,-13.553932584269695,0.811891841317365,58.5,72.05393258426969,0.0026531865939485133,0.9460674157303046,-14.5,52,57
US100,M30,long,PD,1,False,next_open,2.5,109,0.27522935779816515,-0.09488300524375061,-10.342247571568816,0.8788144457656132,75.0,85.34224757156882,0.0026531865939485133,1.1577524284311842,-11.5,52,57
