detector,direction,zone,trigger,rr,trades,winrate,avg_r,sum_r,pf,h1_avg_r,h2_avg_r,pos_datasets
div,long,SR+BB,candle,1.5,697,0.3988522238163558,-0.005435521091905643,-3.7885582010582333,0.9909965275261882,0.015197726544988735,-0.02589191232048378,4
failswing,long,BB,candle,2.5,434,0.2880184331797235,-0.005668936874910266,-2.4603186037110554,0.9921398070738247,-0.008535654689698033,-0.002880402273253082,6
hidden,long,none,self,2.5,2144,0.28591417910447764,-0.006059019305113435,-12.990537390163205,0.9915828433372599,-0.06308987691049622,0.05193755366893999,6
keyrev,short,BB,self,1.5,706,0.3980169971671388,-0.007000860240387572,-4.942607329713626,0.9884096775398146,-0.004117766109378565,-0.009756171806033302,3
pinbar,long,BB,candle,1.5,2135,0.3971896955503513,-0.007047160232557839,-15.045687096510985,0.9883099044211454,0.01564515143463765,-0.028318628428758343,5
keyrev,long,SR+BB,self,1.5,460,0.3978260869565217,-0.00763495344974186,-3.5120785868812554,0.9873671726612276,-0.02888062809145094,0.012182440543785096,5
keyrev,long,SR+BB,candle,1.5,460,0.3978260869565217,-0.00763495344974186,-3.5120785868812554,0.9873671726612276,-0.02888062809145094,0.012182440543785096,5
keyrev,short,SR+BB,candle,1.5,488,0.3975409836065574,-0.008655991398994428,-4.224123802709281,0.985691806793092,0.0012206911384545014,-0.01717557251908397,4
spring,short,BB,candle,1.5,2105,0.39667458432304037,-0.010154822714453083,-21.37590181392374,0.9832197926159952,-0.037535075466877024,0.017303584898348854,5
spring,short,SR+BB,candle,2.5,1804,0.2843680709534368,-0.011526142931312992,-20.793161848088637,0.9840456756340196,-0.06722110425531248,0.044168818392686486,5
spring,short,SR+BB,candle,1.5,1859,0.39591178052716514,-0.012391402356423343,-23.035616980590994,0.9795608793249099,-0.041320740225681774,0.016259173156493195,4
wbottom,short,SR,candle,2.5,2245,0.2828507795100223,-0.01393542194444977,-31.285022265289733,0.980618909714796,-0.0047058022488191366,-0.02294567567900469,4
pinbar,long,SR,candle,1.5,7060,0.39660056657223797,-0.014568822587758804,-102.85588746957716,0.9760959023124373,-0.002003754132053166,-0.02740735759633776,3
spring,short,SR,candle,2.5,4681,0.28327280495620594,-0.014910288012946218,-69.79505818860125,0.9793461584100621,-0.05206648350896752,0.021351900246573102,3
keyrev,long,SR,self,1.5,786,0.3944020356234097,-0.016434652795476068,-12.917637097244189,0.9729709973130458,-0.06957333859280258,0.039478899100927556,4
keyrev,long,SR,candle,1.5,786,0.3944020356234097,-0.016434652795476068,-12.917637097244189,0.9729709973130458,-0.06957333859280258,0.039478899100927556,4
pinbar,long,SR,self,1.5,9119,0.3967540300471543,-0.017224717020444008,-157.0721945094289,0.9718713890082096,0.0026058144308439123,-0.03708571680363689,7
failswing,long,SR+BB,candle,1.5,302,0.39403973509933776,-0.017499398201673785,-5.284818256905483,0.9712445331065483,-0.0189706718362106,-0.01606658923732094,4
pinbar,long,SR+BB,self,2.5,1920,0.2838541666666667,-0.017511489427961643,-33.622059701686354,0.9758817100638044,0.045846565011416145,-0.07555809020176285,5
keyrev,short,BB,candle,1.5,706,0.3937677053824363,-0.017624089702143946,-12.442607329713626,0.9710261461779908,-0.025856896544161175,-0.009756171806033302,3
exhaust,short,none,candle,1.5,1542,0.39364461738002593,-0.01777998484348718,-27.416736628657233,0.9707334489985554,0.042719852600886024,-0.07597066818693012,4
exhaust,short,none,self,1.5,1542,0.39364461738002593,-0.01777998484348718,-27.416736628657233,0.9707334489985554,0.042719852600886024,-0.07597066818693012,4
spring,short,none,candle,2.5,4853,0.28250566659798065,-0.01849915815251946,-89.77641451417693,0.974398944493804,-0.04912923956696093,0.011003359585257708,3
keyrev,long,BB,candle,1.5,567,0.3932980599647266,-0.02013401181483307,-11.41598469901035,0.9669978110177717,-0.027654848642918315,-0.01339292730002757,5
keyrev,long,BB,self,1.5,568,0.3926056338028169,-0.021859127991215404,-12.41598469901035,0.964210398924735,-0.03126951463309334,-0.01339292730002757,5
wbottom,short,SR,candle,1.5,2282,0.3913234005258545,-0.023435277730611787,-53.4793037812561,0.9616079695971893,0.008701932120759617,-0.05479340370679844,4
