symbol,tf,direction,k,tol,bottoms,entry,tp,trades,winrate,avg_r,sum_r,pf,net05_avg_r,risk_pct,h1_avg_r,h2_avg_r,h1_n,h2_n
US100,M10,short,5,0.5,2,confirm,3.5R,113,0.22123893805309736,-0.1760173826723102,-19.889964241971054,0.776806218515931,-0.3184261928795952,0.0056601308070215505,-0.2064762223513762,-0.14501463514183238,57,56
US100,M10,short,5,0.5,2,confirm,measured,131,0.6564885496183206,-0.05527446244668266,-7.240954580515428,0.8495545728527459,-0.19684709145060705,0.005788162935082859,-0.09260935003848225,-0.01736519196885538,66,65
US100,M10,short,5,0.5,3,touch,1.5R,8,0.25,-0.37500000000000344,-3.0000000000000275,0.4999999999999954,-0.4992329460406423,0.005560309490924265,-0.49999999999999806,-0.1666666666666791,5,3
US100,M10,short,5,0.5,3,touch,2.5R,8,0.125,-0.5105005711519927,-4.084004569215941,0.3797081204483029,-0.6347335171926314,0.005560309490924265,-0.9168009138431957,0.1666666666666791,5,3
US100,M10,short,5,0.5,3,touch,3.5R,8,0.125,-0.385500571152002,-3.084004569216016,0.5315913686276105,-0.5097335171926407,0.005560309490924265,-0.9168009138431957,0.49999999999998757,5,3
US100,M10,short,5,0.5,3,touch,measured,8,0.5,-0.07783768765138499,-0.6227015012110799,0.84432462469723,-0.20207063369202372,0.005560309490924265,-0.273949655237595,0.2490155916589651,5,3
US100,M10,short,5,0.5,3,confirm,1.5R,5,0.2,-0.500000000000002,-2.5000000000000098,0.3749999999999976,-0.5666361254433803,0.008338132808416393,-0.3750000000000024,-1.0,4,1
US100,M10,short,5,0.5,3,confirm,2.5R,5,0.0,-0.9817245017116021,-4.90862250855801,0.0,-1.0483606271549806,0.008338132808416393,-0.9771556271395025,-1.0,4,1
US100,M10,short,5,0.5,3,confirm,3.5R,5,0.0,-0.9817245017116021,-4.90862250855801,0.0,-1.0483606271549806,0.008338132808416393,-0.9771556271395025,-1.0,4,1
US100,M10,short,5,1.0,2,touch,1.5R,215,0.4418604651162791,0.08237456232852583,17.710530900633053,1.143780418122378,-0.0726081492565838,0.005237930499995163,0.09740872527119467,0.06719989319013112,108,107
US100,M10,short,5,1.0,2,touch,2.5R,207,0.33816425120772947,0.14589845789157682,30.200980783556403,1.218494820542912,-0.010418639299801509,0.005241713769615087,0.22665071775396242,0.06436219550625544,104,103
US100,M10,short,5,1.0,2,touch,3.5R,194,0.2422680412371134,-0.03184075462382819,-6.177106397022669,0.9582670526698089,-0.1881650172325616,0.005193376444934101,0.05934224080892706,-0.1288439412544189,100,94
US100,M10,short,5,1.0,2,touch,measured,231,0.6320346320346321,0.08430748258516853,19.47502847717393,1.2208613324277577,-0.06687642515994215,0.005310255309687531,0.0839125798142493,0.08472706677927024,119,112
US100,M10,short,5,1.0,2,confirm,1.5R,170,0.4176470588235294,0.02179554124744817,3.705242012066189,1.0365373769654476,-0.10936830975297662,0.006064697328160819,0.016081415756817083,0.027645717344999026,86,84
US100,M10,short,5,1.0,2,confirm,2.5R,164,0.3048780487804878,0.015340290058177825,2.5158075695411632,1.0216286561795302,-0.11573259847318271,0.006043488454758753,0.019197312804580917,0.011290416174454587,84,80
US100,M10,short,5,1.0,2,confirm,3.5R,151,0.2251655629139073,-0.19130434117657427,-28.886955517662713,0.7549069682801414,-0.3204877422886048,0.0062068166329196095,-0.17225703492955619,-0.21165625744051142,78,73
US100,M10,short,5,1.0,2,confirm,measured,178,0.7078651685393258,0.03964285740833009,7.056428618682755,1.1279959161970439,-0.0889171727629557,0.006214859795683369,0.02729468260632062,0.051991032210339544,89,89
US100,M10,short,5,1.0,3,touch,1.5R,33,0.48484848484848486,0.2114984868255223,6.9794500652422355,1.4193022278685594,0.09765279458349552,0.005760476120733313,0.23124211708230327,0.1811236710458591,20,13
US100,M10,short,5,1.0,3,touch,2.5R,33,0.3333333333333333,0.1483468332129164,4.895445496026241,1.230597483839316,0.034501140970889646,0.005760476120733313,0.0020418886215033184,0.3734313633535518,20,13
US100,M10,short,5,1.0,3,touch,3.5R,33,0.2727272727272727,0.11724206832371295,3.8689882546825274,1.16655569149709,0.0033963760816862324,0.005760476120733313,-0.074280973445682,0.4118929018150898,20,13
US100,M10,short,5,1.0,3,touch,measured,33,0.6363636363636364,0.1605348718365133,5.297650770604939,1.4549138959740469,0.04668917959448658,0.005760476120733313,0.17102336620328837,0.14439872665685927,20,13
US100,M10,short,5,1.0,3,confirm,1.5R,27,0.4074074074074074,0.03193308289654779,0.8621932382067903,1.0551351766485135,-0.0634633916990324,0.00632031113218296,0.0937500000000013,-0.05798243289029373,16,11
US100,M10,short,5,1.0,3,confirm,2.5R,27,0.25925925925925924,-0.07579367667967814,-2.0464292703513096,0.8953041887064557,-0.1711901512752583,0.00632031113218296,-0.11928890678487698,-0.012527887435752515,16,11
US100,M10,short,5,1.0,3,confirm,3.5R,27,0.2222222222222222,-0.030159351290789106,-0.8143024848513059,0.958348794755902,-0.12555582588636927,0.00632031113218296,-0.22978098269112968,0.2601993852915244,16,11
US100,M10,short,5,1.0,3,confirm,measured,26,0.6538461538461539,0.035878015487475504,0.9328284026743632,1.107993664178788,-0.06088124489608209,0.00624269501412666,0.04161040826274161,0.028061116248476292,15,11
US100,M15,long,3,0.5,2,touch,1.5R,119,0.3865546218487395,-0.06830906839727033,-8.128779139275169,0.8914609605700816,-0.18903448475927542,0.006947400989693295,0.0495641123612341,-0.15671395396614865,51,68
US100,M15,long,3,0.5,2,touch,2.5R,112,0.3125,-0.057195527866691076,-6.4058991210694005,0.9204185868243678,-0.1793874444828588,0.006948874513898778,-0.07761308775955764,-0.04131520350557267,49,63
US100,M15,long,3,0.5,2,touch,3.5R,106,0.2830188679245283,-0.02580232896918388,-2.735046870733491,0.9651714438526495,-0.1491645604044176,0.0068278459648149405,0.0165724478225531,-0.05828965784284891,46,60
US100,M15,long,3,0.5,2,touch,measured,124,0.5403225806451613,-0.08058653335991559,-9.992730136629532,0.8303230422719788,-0.20065170997643347,0.006883999119557765,0.06068749683147798,-0.18261777738703322,52,72
US100,M15,long,3,0.5,2,confirm,1.5R,85,0.43529411764705883,0.030976876437992885,2.6330344972293953,1.0533945671533322,-0.06063457893837991,0.00850426420367405,0.13334856370017947,-0.05179172177398776,38,47
