family,symbol,tf,direction,p1,p2,p3,p4,p5,trades,winrate,avg_r,sum_r,pf,net05,risk_pct,h1,h2,q_pos
B.GAP,US100,M5,follow,week,g0.5,sl0.75,1.5R,,67,0.44776119402985076,0.07993221976817454,5.355458724467694,1.144742127688316,-0.2992276969693481,0.003980007194174482,0.1363636363636351,0.02516055071963929,2
B.GAP,US100,M5,follow,week,g0.5,sl0.75,2.5R,,67,0.373134328358209,0.1976888741135595,13.245154565608487,1.3153608229906784,-0.1814710426239631,0.003980007194174482,0.3654602831361334,0.034851918297531904,3
B.GAP,US100,M5,fade,week,g0.5,sl1.5,fill,,67,0.5223880597014925,-0.09574609569435767,-6.414988411521964,0.7832223644147774,-0.28532605406312356,0.007960014388348959,-0.1919191919191881,-0.0024016199467281553,2
B.GAP,US100,M5,fade,week,g0.5,sl1.5,half,,67,0.6417910447761194,-0.1083455116078296,-7.259149277724583,0.6638112713353761,-0.2979254699765954,0.007960014388348959,-0.19191919191918405,-0.0272298807173973,1
B.GAP,US100,M5,follow,week,g0.5,sl1.5,1.5R,,67,0.44776119402985076,0.05898412694823107,3.9519365055314815,1.1137440614688023,-0.13059583142053477,0.007960014388348959,0.14000042751071948,-0.019649341244772387,2
B.GAP,US100,M5,follow,week,g0.5,sl1.5,2.5R,,67,0.3880597014925373,0.11055201628974959,7.4069850914132225,1.1911770473030765,-0.07902794207901617,0.007960014388348959,0.3800999417504055,-0.15106802901029867,2
B.GAP,US100,M5,fade,week,g1.0,sl0.75,fill,,61,0.3770491803278688,-0.10051496544320118,-6.131412892035272,0.8319534764989357,-0.38917132289959255,0.004329425287965016,-0.06666666666666761,-0.13327138361404012,1
B.GAP,US100,M5,fade,week,g1.0,sl0.75,half,,61,0.5573770491803278,-0.046225157777716616,-2.8197346244407138,0.889363170883423,-0.334881515234108,0.004329425287965016,-0.11111111111110966,0.016567700286857324,2
B.GAP,US100,M5,follow,week,g1.0,sl0.75,1.5R,,61,0.47540983606557374,0.14517145449947041,8.855458724467695,1.2767330851396155,-0.14348490295692115,0.004329425287965016,0.2499999999999986,0.04372447498283019,3
B.GAP,US100,M5,follow,week,g1.0,sl0.75,2.5R,,61,0.39344262295081966,0.25811728796079486,15.745154565608487,1.4255447179894185,-0.030539069495596635,0.004329425287965016,0.5020063114497467,0.02209565232632531,3
B.GAP,US100,M5,fade,week,g1.0,sl1.5,fill,,61,0.5081967213114754,-0.11609270619981427,-7.08165507818867,0.7433483902840037,-0.26042088492801346,0.008658850575930029,-0.22222222222222043,-0.013386722952324449,2
B.GAP,US100,M5,fade,week,g1.0,sl1.5,half,,61,0.639344262295082,-0.10807348542718023,-6.592482611057994,0.6635197926710319,-0.2524016641553794,0.008658850575930029,-0.19999999999999613,-0.01911234229219709,1
B.GAP,US100,M5,follow,week,g1.0,sl1.5,1.5R,,61,0.45901639344262296,0.08117928697592282,4.951936505531292,1.1610694227134628,-0.06314889175227635,0.008658850575930029,0.17066713692845423,-0.005421858139430116,2
B.GAP,US100,M5,follow,week,g1.0,sl1.5,2.5R,,61,0.39344262295081966,0.10503254248218706,6.406985091413411,1.1844049126415352,-0.03929563624601208,0.008658850575930029,0.40144326925878315,-0.18181654794677687,3
C.VWAP,US100,M5,long,fade,k2.0,vwap,,,1014,0.388560157790927,-0.09376688774579713,-95.07962417423829,0.843471482200004,-0.5216469759938736,0.0021169056324721203,-0.08908664021403345,-0.09707615367734718,0
C.VWAP,US100,M5,short,fade,k2.0,vwap,,,1217,0.3410024650780608,-0.03489933806027042,-42.472494419349104,0.9460420715822083,-0.6357456006320097,0.001461298874851828,0.0026827943663704683,-0.06428273295899113,1
C.VWAP,US100,M5,long,fade,k2.0,half,,,1055,0.5308056872037915,-0.06451238289230435,-68.06056395138108,0.8599780620536308,-0.490337016289806,0.0021380929100410346,-0.04418117097589694,-0.07888898419889016,1
C.VWAP,US100,M5,short,fade,k2.0,half,,,1250,0.468,-0.03732098436660652,-46.65123045825815,0.928277478112234,-0.6363155781637373,0.001513198879160209,-0.05045292340900167,-0.02696948449198605,1
C.VWAP,US100,M5,long,fade,k3.0,vwap,,,253,0.4150197628458498,0.19366325490860462,48.99680349187697,1.3414069830796547,-0.1715174707533873,0.002670565330977547,0.4823349621539446,0.02587282507225077,3
C.VWAP,US100,M5,short,fade,k3.0,vwap,,,244,0.3237704918032787,0.11292879294061604,27.554625477510314,1.1699556638321358,-0.47030152936697955,0.0017422362001903574,0.01586925431141681,0.17481239139547455,3
C.VWAP,US100,M5,long,fade,k3.0,half,,,255,0.5450980392156862,0.20753078470617883,52.9203501000756,1.472834823087451,-0.1562099151838695,0.00267990548458027,0.37782559284334744,0.10976895040521159,4
C.VWAP,US100,M5,short,fade,k3.0,half,,,248,0.4596774193548387,0.11701203950112404,29.018985796278763,1.2202185113547663,-0.4595170443283294,0.0019810640988444372,0.03597753453672549,0.16906731752461185,3
C.VWAP,US100,M5,long,pull,hold12,1.5R,,,299,0.45819397993311034,0.14548494983277735,43.500000000000426,1.2685185185185213,-0.8096609950307053,0.0007310088065039956,0.21153846153846598,0.09467455621301683,4
C.VWAP,US100,M5,short,pull,hold12,1.5R,,,278,0.44244604316546765,0.10410745120089121,28.941871433847755,1.1867217511861146,-0.7775802638332099,0.0007944055486223308,0.08497326011835858,0.11801242236024721,3
C.VWAP,US100,M5,long,pull,hold12,2.5R,,,299,0.2909698996655518,0.018394648829432994,5.500000000000465,1.0259433962264175,-0.9367512960340496,0.0007310088065039956,0.157692307692307,-0.08875739644970085,1
C.VWAP,US100,M5,short,pull,hold12,2.5R,,,278,0.29136690647482016,0.008687129252255251,2.41502193212696,1.0122589945793248,-0.8730005857818457,0.0007944055486223308,-0.009273316819430942,0.021739130434784974,2
C.VWAP,US100,M5,long,pull,hold24,1.5R,,,256,0.53125,0.322345077058651,82.52033972701466,1.687669497725122,-0.6282304878786287,0.0007589511723800637,0.3260869565217506,0.31929318955328606,4
C.VWAP,US100,M5,short,pull,hold24,1.5R,,,218,0.42201834862385323,0.05248564877912035,11.441871433848236,1.09080850344324,-0.8014491283687971,0.0008317966292604152,0.2036760369230951,-0.05999999999999685,1
C.VWAP,US100,M5,long,pull,hold24,2.5R,,,256,0.31640625,0.09165642062727788,23.46404368058314,1.1340802496033324,-0.8589191443100018,0.0007589511723800637,0.03478260869564595,0.1380428629828642,2
C.VWAP,US100,M5,short,pull,hold24,2.5R,,,218,0.27522935779816515,-0.07100655220121667,-15.479428379865233,0.9020289343046505,-0.9249413293491341,0.0008317966292604152,0.1679038441396052,-0.24875588707878807,1
A.ORB,US100,M15,long,NY,or30,buf0.0,opp,1.5R,362,0.4972375690607735,0.04780715744131041,17.306190993754367,1.1225434514864925,-0.05536861890485031,0.006035462124736904,0.04931233853310986,0.04628525211515761,4
A.ORB,US100,M15,short,NY,or30,buf0.0,opp,1.5R,336,0.44642857142857145,-0.0034704020579614447,-1.1660550914750454,0.992440038605356,-0.10319435749274893,0.006281407221688856,-0.024727289641360586,0.018823406870969343,2
A.ORB,US100,M15,long,NY,or30,buf0.0,opp,2.5R,362,0.48066298342541436,0.01537994167229839,5.567538885372017,1.038216099490779,-0.08779583467386234,0.006035462124736904,0.00020144466970257663,0.030727088641589705,2
A.ORB,US100,M15,short,NY,or30,buf0.0,opp,2.5R,336,0.42857142857142855,0.01114629042175994,3.7451535817113397,1.0237293917663155,-0.08857766501302755,0.006281407221688856,-0.01730941011320752,0.04099007390965263,3
A.ORB,US100,M15,long,NY,or30,buf0.0,opp,3.5R,362,0.48066298342541436,0.016499754099448927,5.972910984000512,1.0409986108967928,-0.08667602224671181,0.006035462124736904,-0.004452550569951918,0.03768486215406533,3
A.ORB,US100,M15,short,NY,or30,buf0.0,opp,3.5R,336,0.41964285714285715,0.025696874586580643,8.634149861091096,1.0537985383159283,-0.07402708084820683,0.006281407221688856,0.0504865453634393,-0.0003020484232954927,2
A.ORB,US100,M15,long,NY,or30,buf0.0,opp,eod,362,0.48066298342541436,0.02074869015236094,7.51102583515466,1.0515563728433488,-0.08242708619379979,0.006035462124736904,0.004760771015616834,0.03691425283506887,3
