Date,Open,High,Low,Close,Volume
2006-09-28,16.886518,17.037365,16.826181,17.037365,348000
2006-09-29,17.023656,17.023656,16.861839,16.861839,120000
2006-10-02,16.798759,16.982515,16.702765,16.702765,286800
2006-10-03,16.543677,16.697266,16.447684,16.601273,349800
2006-10-04,16.595797,16.963312,16.573855,16.963312,304200
2006-10-05,16.911208,16.949605,16.815215,16.924921,1017900
2006-10-06,16.765834,16.878282,16.727437,16.793261,254700
2006-10-09,16.774071,17.092217,16.771327,16.957829,491100
2006-10-10,16.949596,16.977022,16.837146,16.908455,917100
2006-10-11,16.870064,17.267751,16.839896,17.078506,441000
2006-10-12,17.188206,17.333568,17.064787,17.289684,941400
2006-10-13,17.333575,17.596869,17.278721,17.522818,957300
2006-10-16,17.654460,17.736740,17.599606,17.640747,243600
2006-10-17,17.437798,17.437798,17.103195,17.193703,522600
2006-10-18,17.158036,17.158036,16.705498,16.763094,2041500
2006-10-19,16.787786,16.798758,16.538205,16.675337,681000
2006-10-20,16.661624,16.661624,16.420270,16.483351,2808600
2006-10-23,16.428499,16.686308,16.376388,16.499807,293100
2006-10-24,16.442210,16.601283,16.346217,16.351702,367800
2006-10-25,16.351713,16.697287,16.351713,16.667118,448800
2006-10-26,16.839891,16.883773,16.631448,16.842632,956100
2006-10-27,16.812469,16.812469,16.414785,16.466894,2468700
2006-10-30,16.453186,16.697281,16.453186,16.606773,420000
2006-10-31,16.675334,16.760357,16.604025,16.697275,1251900
2006-11-01,16.867321,16.867321,16.354445,16.403812,343500
2006-11-02,16.346220,16.409300,16.231029,16.318792,705900
2006-11-03,16.387359,16.431240,16.258453,16.390100,2835300
2006-11-06,16.442220,16.689058,16.387367,16.656147,204300
2006-11-07,16.483347,16.998966,16.483347,16.765841,802200
2006-11-08,16.645165,16.793269,16.554659,16.754871,915300
2006-11-09,16.823439,16.848123,16.442210,16.455923,336300
2006-11-10,16.401070,16.634197,16.401070,16.593058,222900
2006-11-13,16.612254,16.894746,16.612254,16.878290,1661700
2006-11-14,16.922174,17.363740,16.790527,17.325344,570000
2006-11-15,17.371971,17.605097,17.330832,17.470707,2043000
2006-11-16,17.470703,17.583152,17.319856,17.517328,1357500
2006-11-17,17.429564,17.446020,17.319858,17.418594,192900
2006-11-20,17.350021,17.659941,17.306139,17.648972,1461900
2006-11-21,17.679149,17.679149,17.333574,17.333574,3295500
2006-11-22,17.481679,17.602355,17.410369,17.583157,578400
2006-11-24,17.446016,17.605091,17.418590,17.528296,173700
2006-11-27,17.459738,17.583158,17.075766,17.075766,373200
2006-11-28,17.040105,17.105930,16.922172,17.097702,759900
2006-11-29,17.303400,17.306142,16.977023,17.083986,473700
2006-11-30,17.138849,17.317122,16.993488,17.245811,2117400
2006-12-01,17.245814,17.245814,16.790534,17.001719,723900
2006-12-04,17.037365,17.421335,17.029137,17.317116,917100
2006-12-05,17.306143,17.498129,17.306143,17.374710,138000
2006-12-06,17.347288,17.522820,17.265010,17.451509,816000
2006-12-07,17.558470,17.574926,17.196439,17.201925,265500
2006-12-08,17.174496,17.256776,16.974282,17.119644,791100
2006-12-11,17.122384,17.232090,17.059303,17.083986,292800
2006-12-12,17.073018,17.144327,16.850863,16.979769,403200
2006-12-13,17.201933,17.201933,16.839902,16.850872,381300
2006-12-14,16.872804,17.160783,16.872804,17.105930,4226400
2006-12-15,17.221122,17.226607,17.075760,17.103188,408000
2006-12-18,17.171756,17.306145,17.004455,17.059307,2740800
2006-12-19,16.752133,16.946860,16.746646,16.864582,331800
2006-12-20,17.059314,17.100453,16.900240,16.941380,449100
2006-12-21,16.946862,16.971550,16.639635,16.705469,351600
2006-12-22,16.732887,16.760319,16.603962,16.603962,555900
2006-12-26,16.568308,16.754839,16.568308,16.732893,414300
2006-12-27,16.760330,16.919429,16.760330,16.826164,565500
2006-12-28,16.837134,16.875537,16.801475,16.831648,123900
2006-12-29,16.801479,16.949605,16.735643,16.735643,77700
2007-01-03,16.922174,17.067558,16.527167,16.686268,509400
2007-01-04,16.686262,17.064810,16.658831,17.012690,462300
2007-01-05,16.721931,16.856343,16.557346,16.689014,241500
2007-01-08,16.697236,16.886509,16.631400,16.754841,269100
2007-01-09,16.823421,16.900228,16.669807,16.815191,429000
2007-01-10,16.732894,17.166305,16.732894,17.103212,473100
2007-01-11,17.166306,17.308946,17.119673,17.155333,708000
2007-01-12,17.089501,17.199224,17.007209,17.199224,179700
2007-01-16,17.130652,17.130652,16.993496,17.059330,184200
2007-01-17,16.957828,17.084011,16.897480,16.938625,554400
2007-01-18,16.793249,16.793249,16.302233,16.321434,803400
2007-01-19,16.315951,16.606719,16.296748,16.475050,542700
2007-01-22,16.411959,16.411959,16.211714,16.296749,564300
2007-01-23,16.346121,16.461331,16.280287,16.280287,466500
2007-01-24,16.395493,16.562823,16.343376,16.529905,195600
2007-01-25,16.710954,16.817934,16.425670,16.461330,382800
2007-01-26,16.529902,16.746608,16.439381,16.683516,225900
2007-01-29,16.650612,16.738391,16.540888,16.590263,143700
2007-01-30,16.683531,16.724678,16.620440,16.664330,130200
2007-01-31,16.488769,16.716446,16.447623,16.680786,320100
2007-02-01,16.732900,16.878285,16.686268,16.820681,635700
2007-02-02,16.886514,16.982523,16.815192,16.927660,743400
2007-02-05,16.985262,17.081271,16.913942,16.990749,318600
2007-02-06,16.971550,17.018183,16.752102,16.927660,531600
2007-02-07,17.114187,17.254085,17.007207,17.155333,997500
2007-02-08,17.086755,17.125159,16.985261,17.089499,246900
2007-02-09,17.270546,17.287003,16.795989,16.834393,588300
2007-02-12,16.787750,16.787750,16.617678,16.642366,71400
2007-02-13,16.727410,16.757583,16.631400,16.730152,226200
2007-02-14,16.859085,17.119678,16.848112,17.059330,475500
2007-02-15,17.034639,17.171794,17.034639,17.149849,1452600
2007-02-16,17.089505,17.166312,17.053845,17.138882,703200
2007-02-20,16.998984,17.158083,16.935891,17.138882,128700
2007-02-21,17.009951,17.125160,16.985262,17.125160,163200
2007-02-22,17.322665,17.509196,17.322665,17.487251,529200
2007-02-23,17.542108,17.638115,17.506446,17.583254,1146000
2007-02-26,17.640858,17.646344,17.473530,17.558565,231600
2007-02-27,17.144358,17.391237,16.889250,16.938625,459900
2007-02-28,16.977027,17.122413,16.845359,16.974285,717300
2007-03-01,16.568318,16.985268,16.568318,16.853600,1791300
2007-03-02,16.774051,16.831655,16.516199,16.516199,390900
2007-03-05,16.370810,16.650607,16.337893,16.337893,306600
2007-03-06,16.617684,16.763069,16.584768,16.727409,206400
2007-03-07,16.623184,16.746623,16.571065,16.658844,147300
2007-03-08,16.856338,16.930402,16.806962,16.826164,351600
2007-03-09,17.094997,17.094997,16.806972,16.930412,339600
2007-03-12,16.919430,17.136136,16.919430,17.064816,108900
2007-03-13,16.922174,17.015439,16.716442,16.716442,99900
2007-03-14,16.774043,16.817932,16.516191,16.817932,356700
2007-03-15,16.760323,16.834387,16.735634,16.809698,465900
2007-03-16,16.787757,16.828904,16.631400,16.699978,154500
2007-03-19,16.801475,16.815188,16.606714,16.612200,156900
2007-03-20,16.634148,16.839880,16.634148,16.779531,278700
2007-03-21,16.820676,17.149847,16.774043,17.084013,207600
2007-03-22,16.982522,16.982522,16.826165,16.848110,196800
2007-03-23,16.952350,17.040129,16.892001,16.949606,291900
2007-03-26,16.956471,16.986679,16.750522,16.937250,222300
2007-03-27,16.898803,16.967453,16.871344,16.871344,104700
2007-03-28,16.766986,16.777970,16.654401,16.662640,285600
2007-03-29,16.761501,16.761501,16.371571,16.506124,843900
2007-03-30,16.602232,16.637930,16.473171,16.558296,188400
2007-04-02,16.665398,16.665398,16.426498,16.536337,274500
2007-04-03,16.648912,16.712071,16.530837,16.648912,60900
2007-04-04,16.648914,16.832895,16.648914,16.788960,349200
2007-04-05,16.821912,16.939990,16.821912,16.923513,493500
2007-04-09,16.945489,16.964710,16.816428,16.885078,193200
2007-04-10,16.893305,17.030603,16.887813,17.030603,55200
2007-04-11,17.008645,17.008645,16.846631,16.857615,231300
2007-04-12,16.843877,17.052573,16.843877,17.030603,64800
2007-04-13,16.956463,17.000401,16.830149,16.997654,29100
2007-04-16,17.019626,17.137704,16.989420,17.118483,265200
2007-04-17,17.134954,17.148685,17.052576,17.102003,127500
2007-04-18,17.299721,17.579812,17.264024,17.458988,644100
2007-04-19,17.329916,17.692386,17.327169,17.563324,802200
2007-04-20,17.711612,17.741818,17.513901,17.629232,316800
2007-04-23,17.585295,17.596280,17.478202,17.494678,509700
2007-04-24,17.766543,18.032902,17.725352,17.928555,701700
2007-04-25,18.046629,18.109786,17.876377,18.096056,218400
2007-04-26,18.087818,18.096056,17.903837,18.090563,485100
2007-04-27,17.969731,17.988952,17.813209,17.821447,487500
2007-04-30,17.780264,17.791248,17.563332,17.566078,191400
2007-05-01,17.601776,17.659441,17.445254,17.610014,139500
2007-05-02,17.651199,17.851656,17.642962,17.755547,336300
2007-05-03,17.794005,17.950527,17.794005,17.859909,185400
2007-05-04,17.931291,18.074083,17.914817,18.027401,381600
2007-05-07,18.065852,18.065852,17.953266,17.953266,217800
2007-05-08,17.818707,17.931293,17.761041,17.912071,266700
2007-05-09,17.848910,18.236094,17.848910,18.236094,332400
2007-05-10,18.096049,18.258062,17.854401,17.901083,373800
2007-05-11,18.032895,18.175687,17.994451,18.150972,194700
2007-05-14,18.285523,18.288270,18.052115,18.126255,265500
2007-05-15,18.098800,18.134498,17.884613,17.884613,196200
2007-05-16,17.848917,17.906582,17.711617,17.887360,123900
2007-05-17,17.848913,17.925800,17.711612,17.804976,462300
2007-05-18,17.914816,17.914816,17.689644,17.832436,544200
2007-05-21,17.848919,18.068596,17.785760,17.848919,362400
2007-05-22,17.917569,18.038394,17.796745,17.931299,587400
2007-05-23,17.807724,17.884611,17.651202,17.673170,571800
2007-05-24,17.670423,17.684153,17.269508,17.362873,952200
2007-05-25,17.431523,17.516648,17.379349,17.453491,761400
2007-05-29,17.480944,17.590783,17.480944,17.563324,350100
2007-05-30,17.329924,17.450747,17.318940,17.445255,255600
2007-05-31,17.615507,17.725346,17.571571,17.714361,419700
2007-06-01,17.832436,17.958750,17.829689,17.873625,792000
2007-06-04,17.804975,17.972481,17.802230,17.829689,315600
2007-06-05,17.826950,17.829697,17.604526,17.744572,186300
2007-06-06,17.675916,17.741819,17.516647,17.516647,64200
2007-06-07,17.538619,17.568825,17.192625,17.192625,295200
2007-06-08,17.357382,17.684155,17.299716,17.673170,479700
2007-06-11,17.626489,17.744566,17.588045,17.604521,210900
2007-06-12,17.472716,17.637476,17.415051,17.464479,134700
2007-06-13,17.530377,17.747309,17.530377,17.747309,307200
2007-06-14,17.807723,18.043878,17.793993,17.977974,194700
2007-06-15,18.230600,18.304742,18.164697,18.280029,279300
2007-06-18,18.271795,18.315731,18.192160,18.274540,98700
2007-06-19,18.109786,18.137246,17.986216,18.123516,124500
2007-06-20,18.107035,18.230604,18.002687,18.002687,321900
2007-06-21,18.049366,18.562866,18.041128,18.535406,1065900
2007-06-22,18.499710,18.549138,18.269047,18.315729,354300
2007-06-25,18.332208,18.348684,18.043880,18.085070,257100
2007-06-26,18.150962,18.150962,17.903824,17.988949,264600
2007-06-27,18.041134,18.400859,18.024658,18.392622,134100
2007-06-28,18.365157,18.373395,18.219620,18.219620,377100
2007-06-29,18.291670,18.321918,18.027690,18.101934,135300
2007-07-02,18.266921,18.354914,18.206425,18.341166,333000
2007-07-03,18.401657,18.420905,18.335662,18.390657,336600
2007-07-05,18.382405,18.506145,18.332909,18.506145,79200
2007-07-06,18.536391,18.676631,18.503394,18.660133,184200
2007-07-09,18.698631,18.822371,18.698631,18.794872,354000
2007-07-10,18.643636,18.803124,18.643636,18.646385,270900
2007-07-11,18.627140,18.682136,18.497898,18.629889,143700
2007-07-12,18.715137,19.124857,18.679390,19.124857,258600
2007-07-13,19.171606,19.210103,19.045115,19.089111,326700
2007-07-16,19.111105,19.212847,19.069857,19.193598,264000
2007-07-17,19.303591,19.592320,19.284343,19.490578,496200
2007-07-18,19.141351,19.210097,18.968115,19.149601,413100
